Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HerokuappTestSuite,Chrome 127.0.0.0,,,04-08-2024 22:19:48,04-08-2024 22:20:51,1m - 2.872s,PASSED
,,,,,,,
Test Cases/Login,Chrome 127.0.0.0,,,04-08-2024 22:19:49,04-08-2024 22:20:09,20.190s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,04-08-2024 22:19:50,04-08-2024 22:19:57,6.981s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 127.0.0.0,,,04-08-2024 22:19:57,04-08-2024 22:20:00,3.512s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 127.0.0.0,,,04-08-2024 22:20:00,04-08-2024 22:20:02,2.053s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 127.0.0.0,,,04-08-2024 22:20:02,04-08-2024 22:20:03,1.222s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 127.0.0.0,,,04-08-2024 22:20:03,04-08-2024 22:20:05,1.252s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 127.0.0.0,,,04-08-2024 22:20:05,04-08-2024 22:20:06,1.582s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 127.0.0.0,,,04-08-2024 22:20:06,04-08-2024 22:20:07,0.466s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Logout""))",Chrome 127.0.0.0,,,04-08-2024 22:20:07,04-08-2024 22:20:08,1.348s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,04-08-2024 22:20:08,04-08-2024 22:20:09,0.663s,PASSED
,,,,,,,
Test Cases/Make-an-Appointment,Chrome 127.0.0.0,,,04-08-2024 22:20:09,04-08-2024 22:20:28,19.700s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,04-08-2024 22:20:09,04-08-2024 22:20:11,1.977s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 127.0.0.0,,,04-08-2024 22:20:11,04-08-2024 22:20:15,3.887s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 127.0.0.0,,,04-08-2024 22:20:15,04-08-2024 22:20:17,1.709s,PASSED
