Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HerokuappTestSuite,Chrome 127.0.0.0,,,05-08-2024 18:34:32,05-08-2024 18:37:30,2m - 58.203s,PASSED
,,,,,,,
Test Cases/Login,Chrome 127.0.0.0,,,05-08-2024 18:34:32,05-08-2024 18:34:46,13.919s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,05-08-2024 18:34:33,05-08-2024 18:34:38,4.588s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 127.0.0.0,,,05-08-2024 18:34:38,05-08-2024 18:34:41,3.472s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 127.0.0.0,,,05-08-2024 18:34:41,05-08-2024 18:34:43,1.564s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 127.0.0.0,,,05-08-2024 18:34:43,05-08-2024 18:34:44,0.978s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 127.0.0.0,,,05-08-2024 18:34:44,05-08-2024 18:34:45,0.772s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 127.0.0.0,,,05-08-2024 18:34:45,05-08-2024 18:34:46,1.216s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 127.0.0.0,,,05-08-2024 18:34:46,05-08-2024 18:34:46,0.551s,PASSED
,,,,,,,
Test Cases/Make-an-Appointment,Chrome 127.0.0.0,,,05-08-2024 18:34:46,05-08-2024 18:35:38,51.318s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,05-08-2024 18:34:47,05-08-2024 18:34:48,1.815s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 127.0.0.0,,,05-08-2024 18:34:48,05-08-2024 18:34:53,4.199s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 127.0.0.0,,,05-08-2024 18:34:53,05-08-2024 18:34:54,1.246s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 127.0.0.0,,,05-08-2024 18:34:54,05-08-2024 18:34:55,0.915s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 127.0.0.0,,,05-08-2024 18:34:55,05-08-2024 18:34:55,0.628s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 127.0.0.0,,,05-08-2024 18:34:55,05-08-2024 18:34:57,1.219s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 127.0.0.0,,,05-08-2024 18:34:57,05-08-2024 18:34:58,1.205s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 127.0.0.0,,,05-08-2024 18:34:58,05-08-2024 18:34:58,0.423s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 127.0.0.0,,,05-08-2024 18:34:58,05-08-2024 18:34:59,0.395s,PASSED
